task,bin,examples,mean_score,positive_rate
page,0,88,0.11225466444152801,0.0
page,1,88,0.15731765968701586,0.011363636363636364
page,2,88,0.2136289341384522,0.0
page,3,88,0.29329446821132515,0.125
page,4,89,0.41576932397123234,0.5730337078651685
page,5,88,0.4647003823830927,0.7727272727272727
page,6,88,0.5011549824563876,0.7954545454545454
page,7,88,0.561284523898575,0.7386363636363636
page,8,88,0.6519221911751192,0.4431818181818182
page,9,89,0.773521208003843,0.47191011235955055
link,0,54,0.005599251635362805,0.0
link,1,55,0.024391086939627885,0.07272727272727272
link,2,54,0.062068198235324216,0.07407407407407407
link,3,55,0.11111470244810248,0.10909090909090909
link,4,55,0.18323744749768753,0.16363636363636364
link,5,54,0.30902206191756926,0.2962962962962963
link,6,55,0.4613207068161277,0.4
link,7,54,0.6247629255612253,0.3888888888888889
link,8,55,0.7602409611919735,0.6909090909090909
link,9,55,0.905685151895752,0.6909090909090909
