task,metric,value,lower_95,upper_95
page,examples,882,,
page,positives,347,,
page,threshold,0.40090708816674747,0.40090708816674747,0.40090708816674747
page,accuracy,0.7868480725623582,0.6960651289009498,0.8449704142011835
page,balanced_accuracy,0.8172102669072692,0.7604306487695749,0.8550165071904203
page,precision,0.6568047337278107,0.3885135135135135,0.792016806722689
page,recall,0.9596541786743515,0.851063829787234,0.9869621903520208
page,f1,0.7798594847775175,0.5391705069124424,0.8772542175683536
page,matthews_correlation,0.6269014089321414,0.430356503343117,0.708225438511251
page,roc_auc,0.7800910339626707,0.6979278473464521,0.8808640065986184
page,average_precision,0.5758690949634804,0.41896059382828665,0.7320023516707728
page,brier_score,0.18550461413923405,0.1347029298632938,0.21916377446757443
page,log_loss,0.5455913864143687,0.4327012836866531,0.6205493594825771
link,examples,546,,
link,positives,158,,
link,threshold,0.36029287623221967,0.36029287623221967,0.36029287623221967
link,accuracy,0.7380952380952381,0.6929260450160771,0.7913385826771654
link,balanced_accuracy,0.7463134542607334,0.6907051282051282,0.812538427755819
link,precision,0.5330396475770925,0.4114285714285714,0.6306306306306306
link,recall,0.7658227848101266,0.6568047337278107,0.8805970149253731
link,f1,0.6285714285714286,0.524822695035461,0.7071428571428572
link,matthews_correlation,0.4532671722689653,0.34836968550457914,0.5636313213432322
link,roc_auc,0.82187132976641,0.7561184157457449,0.8912631578947368
link,average_precision,0.6274704590163023,0.4697520424802398,0.7563845896551892
link,brier_score,0.15968569727011941,0.12236168082498203,0.1916589658890038
link,log_loss,0.4871661588744593,0.3831181960694543,0.5774254815474573
