task,threshold,precision,recall,f1,predicted_positive
page,0.0,0.3934240362811791,1.0,0.564686737184703,882
page,0.01,0.3934240362811791,1.0,0.564686737184703,882
page,0.02,0.3934240362811791,1.0,0.564686737184703,882
page,0.03,0.3934240362811791,1.0,0.564686737184703,882
page,0.04,0.3934240362811791,1.0,0.564686737184703,882
page,0.05,0.3934240362811791,1.0,0.564686737184703,882
page,0.06,0.3938706015891033,1.0,0.5651465798045603,881
page,0.07,0.3938706015891033,1.0,0.5651465798045603,881
page,0.08,0.39431818181818185,1.0,0.5656071719641402,880
page,0.09,0.3961187214611872,1.0,0.5674570727718724,876
page,0.1,0.40162037037037035,1.0,0.5730800990916598,864
page,0.11,0.4106508875739645,1.0,0.5822147651006712,845
page,0.12,0.42009685230024213,1.0,0.5916453537936914,826
page,0.13,0.43212951432129515,1.0,0.6034782608695652,803
page,0.14,0.4454428754813864,1.0,0.6163410301953819,779
page,0.15,0.45287958115183247,0.9971181556195965,0.6228622862286228,764
page,0.16,0.46318607764390896,0.9971181556195965,0.6325411334552102,747
page,0.17,0.4759284731774415,0.9971181556195965,0.6443202979515829,727
page,0.18,0.4893917963224894,0.9971181556195965,0.6565464895635673,707
page,0.19,0.49927849927849927,0.9971181556195965,0.6653846153846154,693
page,0.2,0.5125925925925926,0.9971181556195965,0.6771037181996086,675
page,0.21,0.521870286576169,0.9971181556195965,0.6851485148514852,663
page,0.22,0.5323076923076923,0.9971181556195965,0.6940822467402207,650
page,0.23,0.5397815912636506,0.9971181556195965,0.7004048582995951,641
page,0.24,0.5457413249211357,0.9971181556195965,0.7054026503567788,634
page,0.25,0.5562700964630225,0.9971181556195965,0.7141382868937048,622
page,0.26,0.5657894736842105,0.9913544668587896,0.7204188481675393,608
page,0.27,0.5803722504230119,0.9884726224783862,0.7313432835820896,591
page,0.28,0.5866209262435678,0.9855907780979827,0.7354838709677419,583
page,0.29,0.5958188153310104,0.9855907780979827,0.742671009771987,574
page,0.3,0.6003521126760564,0.9827089337175793,0.7453551912568306,568
page,0.31,0.6071428571428571,0.9798270893371758,0.7497243660418964,560
page,0.32,0.6156648451730419,0.9740634005763689,0.7544642857142857,549
page,0.33,0.6199261992619927,0.968299711815562,0.7559055118110236,542
page,0.34,0.6268656716417911,0.968299711815562,0.7610419026047565,536
page,0.35,0.6320754716981132,0.9654178674351584,0.7639680729760547,530
page,0.36,0.6417624521072797,0.9654178674351584,0.7710011507479861,522
page,0.37,0.6467181467181468,0.9654178674351584,0.7745664739884393,518
page,0.38,0.6549019607843137,0.962536023054755,0.779463243873979,510
page,0.39,0.6542239685658153,0.9596541786743515,0.7780373831775701,509
page,0.4,0.6568047337278107,0.9596541786743515,0.7798594847775175,507
page,0.41,0.658,0.9481268011527377,0.7768595041322314,500
page,0.42,0.6632860040567952,0.9423631123919308,0.7785714285714286,493
page,0.43,0.6625258799171843,0.9221902017291066,0.7710843373493976,483
page,0.44,0.6545064377682404,0.8789625360230547,0.7503075030750308,466
page,0.45,0.642369020501139,0.8126801152737753,0.7175572519083969,439
page,0.46,0.6370370370370371,0.7435158501440923,0.6861702127659575,405
page,0.47,0.6282722513089005,0.69164265129683,0.6584362139917695,382
page,0.48,0.6123595505617978,0.6282420749279539,0.620199146514936,356
page,0.49,0.6,0.5706051873198847,0.5849335302806499,330
page,0.5,0.5874587458745875,0.5129682997118156,0.5476923076923077,303
page,0.51,0.5699300699300699,0.4697406340057637,0.5150078988941548,286
page,0.52,0.5611510791366906,0.4495677233429395,0.4992,278
page,0.53,0.5492424242424242,0.41786743515850144,0.4746317512274959,264
page,0.54,0.5241935483870968,0.3746397694524496,0.4369747899159664,248
page,0.55,0.5148936170212766,0.34870317002881845,0.41580756013745707,235
page,0.56,0.5045045045045045,0.3227665706051873,0.3936731107205624,222
page,0.57,0.4834123222748815,0.29394812680115273,0.3655913978494624,211
page,0.58,0.4536082474226804,0.25360230547550433,0.32532347504621073,194
page,0.59,0.45161290322580644,0.2420749279538905,0.3151969981238274,186
page,0.6,0.4602272727272727,0.2334293948126801,0.30975143403441685,176
page,0.61,0.45930232558139533,0.2276657060518732,0.3044315992292871,172
page,0.62,0.4810126582278481,0.21902017291066284,0.300990099009901,158
page,0.63,0.4899328859060403,0.21037463976945245,0.29435483870967744,149
page,0.64,0.5,0.1988472622478386,0.2845360824742268,138
page,0.65,0.5076923076923077,0.19020172910662825,0.27672955974842767,130
page,0.66,0.49193548387096775,0.17579250720461095,0.25902335456475584,124
page,0.67,0.48760330578512395,0.17002881844380405,0.25213675213675213,121
page,0.68,0.5087719298245614,0.16714697406340057,0.25162689804772237,114
page,0.69,0.49019607843137253,0.1440922190201729,0.22271714922049,102
page,0.7,0.4845360824742268,0.13544668587896252,0.21171171171171171,97
page,0.71,0.4523809523809524,0.10951008645533142,0.17633410672853828,84
page,0.72,0.45,0.1037463976945245,0.1686182669789227,80
page,0.73,0.43243243243243246,0.09221902017291066,0.15201900237529692,74
page,0.74,0.4444444444444444,0.08069164265129683,0.13658536585365855,63
page,0.75,0.46551724137931033,0.07780979827089338,0.13333333333333333,58
page,0.76,0.5510204081632653,0.07780979827089338,0.13636363636363635,49
page,0.77,0.5609756097560976,0.06628242074927954,0.11855670103092783,41
page,0.78,0.5454545454545454,0.05187319884726225,0.09473684210526316,33
page,0.79,0.56,0.040345821325648415,0.07526881720430108,25
page,0.8,0.5714285714285714,0.0345821325648415,0.06521739130434782,21
page,0.81,0.5294117647058824,0.025936599423631124,0.04945054945054945,17
page,0.82,0.6,0.025936599423631124,0.049723756906077346,15
page,0.83,0.45454545454545453,0.01440922190201729,0.027932960893854747,11
page,0.84,0.5,0.01440922190201729,0.028011204481792718,10
page,0.85,0.5,0.011527377521613832,0.022535211267605635,8
page,0.86,0.6666666666666666,0.011527377521613832,0.0226628895184136,6
page,0.87,0.6666666666666666,0.011527377521613832,0.0226628895184136,6
page,0.88,0.8,0.011527377521613832,0.022727272727272728,5
page,0.89,1.0,0.002881844380403458,0.005747126436781609,1
page,0.9,1.0,0.002881844380403458,0.005747126436781609,1
page,0.91,1.0,0.002881844380403458,0.005747126436781609,1
page,0.92,1.0,0.002881844380403458,0.005747126436781609,1
page,0.93,1.0,0.002881844380403458,0.005747126436781609,1
page,0.94,0.0,0.0,0.0,0
page,0.95,0.0,0.0,0.0,0
page,0.96,0.0,0.0,0.0,0
page,0.97,0.0,0.0,0.0,0
page,0.98,0.0,0.0,0.0,0
page,0.99,0.0,0.0,0.0,0
page,1.0,0.0,0.0,0.0,0
link,0.0,0.2893772893772894,1.0,0.44886363636363635,546
link,0.01,0.3172690763052209,1.0,0.4817073170731707,498
link,0.02,0.3312368972746331,1.0,0.49763779527559054,477
link,0.03,0.3442982456140351,0.9936708860759493,0.511400651465798,456
link,0.04,0.3524027459954233,0.9746835443037974,0.5176470588235295,437
link,0.05,0.36065573770491804,0.9746835443037974,0.5264957264957265,427
link,0.06,0.363855421686747,0.9556962025316456,0.5270506108202443,415
link,0.07,0.3768844221105528,0.9493670886075949,0.539568345323741,398
link,0.08,0.38461538461538464,0.9493670886075949,0.5474452554744526,390
link,0.09,0.39473684210526316,0.9493670886075949,0.5576208178438662,380
link,0.1,0.4054794520547945,0.9367088607594937,0.5659655831739961,365
link,0.11,0.4140845070422535,0.930379746835443,0.5730994152046783,355
link,0.12,0.4260869565217391,0.930379746835443,0.584493041749503,345
link,0.13,0.4306784660766962,0.9240506329113924,0.5875251509054326,339
link,0.14,0.43902439024390244,0.9113924050632911,0.5925925925925926,328
link,0.15,0.446875,0.9050632911392406,0.5983263598326359,320
link,0.16,0.44871794871794873,0.8860759493670886,0.5957446808510638,312
link,0.17,0.4527687296416938,0.879746835443038,0.5978494623655914,307
link,0.18,0.45364238410596025,0.8670886075949367,0.5956521739130435,302
link,0.19,0.4641638225255973,0.8607594936708861,0.6031042128603105,293
link,0.2,0.4722222222222222,0.8607594936708861,0.6098654708520179,288
link,0.21,0.47719298245614034,0.8607594936708861,0.6139954853273137,285
link,0.22,0.4804270462633452,0.8544303797468354,0.6150341685649203,281
link,0.23,0.4856115107913669,0.8544303797468354,0.6192660550458715,278
link,0.24,0.4945054945054945,0.8544303797468354,0.6264501160092807,273
link,0.25,0.4981549815498155,0.8544303797468354,0.6293706293706294,271
link,0.26,0.5,0.8417721518987342,0.6273584905660378,266
link,0.27,0.5057034220532319,0.8417721518987342,0.6318289786223278,263
link,0.28,0.5057471264367817,0.8354430379746836,0.630071599045346,261
link,0.29,0.51171875,0.8291139240506329,0.6328502415458938,256
link,0.3,0.5241935483870968,0.8227848101265823,0.6403940886699507,248
link,0.31,0.5330578512396694,0.8164556962025317,0.645,242
link,0.32,0.5294117647058824,0.7974683544303798,0.6363636363636364,238
